Year,Arson,Campfire,Children,Equipment Use,Fireworks,Lightning,Miscellaneous,Missing/Undefined,Powerline,Railroad,Smoking,Structure
1992,11162,2570,2916,5633,213,12230,7364,8366,128,1999,2618,47
1993,10945,2767,2501,5516,243,7539,6848,8826,133,1844,2420,54
1994,10080,3726,3201,5429,413,16204,7070,10183,144,1965,2628,67
1995,12648,3987,3310,5594,202,8075,7297,8360,154,2142,2895,89
1996,10206,4038,3039,6028,322,12634,7115,9764,166,2896,2454,85
1997,10936,2490,2884,5744,276,8447,9663,1816,180,2177,1971,116
1998,14103,2661,3109,6027,306,10880,9334,2079,371,1873,2406,110
1999,19282,3266,3517,7643,330,11797,12408,2509,364,2524,3250,130
2000,17827,2723,3492,6608,292,16547,19037,1423,351,3143,3047,136
2001,16939,3121,3537,6581,426,13825,12038,2560,364,2293,3381,145
2002,12785,3022,2906,5382,433,12465,12424,2052,312,1900,2535,171
2003,10006,2436,2250,5595,444,13828,11098,7539,268,612,1525,114
2004,11429,2266,2041,5526,420,11726,10300,6026,191,719,1589,135
2005,13354,3662,2507,7148,543,11103,16370,11927,313,768,2038,168
2006,18902,2845,3186,9569,1009,16949,21846,9569,344,1014,2737,83
2007,13600,3510,2580,7230,689,12711,17893,15142,390,913,2063,149
2008,9483,3336,2215,7464,412,9904,20677,10048,295,778,1848,93
2009,8842,3314,1890,6225,634,10449,15697,9220,1266,577,1615,194
2010,10196,3585,1903,5809,666,8983,17221,7458,1434,715,1827,257
2011,9109,3015,1894,6896,451,12538,17629,13903,2828,660,1865,240
2012,9560,3471,2119,5628,910,11130,16223,3735,773,621,1629,357
2013,6590,2796,1400,4334,709,10154,15161,4241,666,423,1366,237
2014,6845,3801,1420,4519,572,8538,14973,3701,1433,529,1278,284
2015,6626,3731,1350,5484,585,9812,18119,6276,1580,370,1884,335
