FIRE_YEAR,Arson,Campfire,Children,Debris Burning,Equipment Use,Fireworks,Lightning,Miscellaneous,Missing/Undefined,Powerline,Railroad,Smoking,Structure
1992,16.42074292019125,3.78080176535491,4.289812431040824,18.726002206693636,8.286870172857668,0.3133504965060684,17.991908789996323,10.833394630378816,12.307465980139757,0.1883045237219566,2.940787054063994,3.851415961750644,0.06914306730415594
1993,17.656358386165287,4.463695171724016,4.034586781525754,19.927729113229766,8.898352933584992,0.3920050331510429,12.161835164303344,11.047121263449966,14.23800996951072,0.21455419509913048,2.9747213215247865,3.9039184371420736,0.08711222958912065
1994,13.271015732999803,4.905536172733855,4.214337436640116,19.544467118688697,7.147653215719834,0.5437430057270752,21.333684418405635,9.308142979395695,13.406622342176288,0.1895859390428543,2.5870581265222827,3.4599433875320913,0.0882101244157725
1995,17.696440564137006,5.578408327736736,4.631184239982091,23.392377434519812,7.826841280501455,0.2826281620774569,11.298130736512201,10.209592567718827,11.696888291918514,0.21546899485113052,2.9969778374748155,4.05053727333781,0.12452428923214685
1996,13.504644454442003,5.343107417895043,4.021224230555482,22.265593987350147,7.976288141424299,0.42607245878212086,16.71738957842644,9.414613491412391,12.919787228411888,0.2196522613597269,3.832005716251621,3.247148490221505,0.11247254346733003
1997,17.796582587469487,4.052074857607812,4.693246541903987,24.003254678600488,9.347436940602115,0.44914564686737185,13.74613506916192,15.724979658258746,2.955248169243287,0.29292107404393813,3.5427176566314076,3.2074857607811227,0.1887713588283157
1998,20.627468187801668,3.8920579201404126,4.547316074301595,22.101799034664328,8.815269855199649,0.4475647213690215,15.913412315342987,13.652186631563552,3.040807371654234,0.5426356589147286,2.7395056311247625,3.5190873189995613,0.16088927892350446
1999,21.577162807873506,3.6547564428230923,3.9356333158018417,25.00251782057451,8.552756733771247,0.3692803509282365,13.201213030001231,13.884941194901693,2.807649698421047,0.4073274173875094,2.824435168917785,3.636851940959905,0.1454740776383962
2000,18.489669764354463,2.824220046465317,3.621805509459011,22.599983405243943,6.853634251576501,0.3028542980418188,17.162089279787587,19.74464819117159,1.4758961168270825,0.36404746100232327,3.2598323929638235,3.1602638566213077,0.14105542648523067
2001,19.562982895815768,3.604467183295414,4.08490882003072,24.68846362617945,7.600448104218878,0.4919907145414439,15.96660006698465,13.902779863027938,2.956563918371118,0.42038643214339333,2.6482035409472555,3.9047432062549805,0.1674616281889891
2002,16.89885798879137,3.994395685735434,3.8410701067991964,25.469229142434177,7.113778153748546,0.5723273765464735,16.47589087448451,16.421698212963943,2.712276620492757,0.41239293644919106,2.511367241196997,3.3506926086496773,0.2260230517077297
2003,14.658443327815297,3.5686556012950295,3.296172045531123,18.379455325881544,8.196481153220727,0.6504446169848083,20.2575409091575,16.258185493913068,11.044373800559617,0.392610714756596,0.8965587963844656,2.234072164193317,0.16700605030691024
2004,16.49706260194287,3.270832431184053,2.946058690223589,24.40999437058849,7.976443077989001,0.6062443164595331,16.925763940010683,14.867420141745695,8.698162502345587,0.2756968201042163,1.0378325322247723,2.2936243306052337,0.19486424457627852
2005,15.071554331632884,4.132996252990836,2.8294433659879914,21.1085278317006,8.067355875581239,0.6128391494740644,12.531036973500068,18.475463861676673,13.461017561283915,0.3532571892916798,0.8667780235655275,2.3001218906595637,0.18960769265495914
2006,16.580119995789623,2.495526472755342,2.794638784604049,22.76323637767096,8.39356513806533,0.8850566646784324,14.867022209747027,19.16248552682362,8.39356513806533,0.3017437984632118,0.8894424757026069,2.4007929546331708,0.0728044630012982
2007,14.229960344448745,3.672585353604051,2.699507182991012,19.569334435457712,7.564898036056208,0.720914902744499,13.299781318991766,18.721814738472162,15.84338673056198,0.408065039289339,0.9552907201824783,2.1585594257792473,0.15590177142079875
2008,11.107076764506079,3.9073297570802783,2.5943451474618753,22.049005598631965,8.742298952891845,0.4825599100470847,11.600178031811474,24.218182670008666,11.768839747944435,0.34552226568905337,0.911241771885029,2.1644920237063414,0.10892735833587107
2009,11.288860517076285,4.231088413661028,2.4130226619853175,23.49441429939355,7.947654005745292,0.8094478135971912,13.3405681455474,20.040855410150016,11.771465049473349,1.6163421640600064,0.7366741142674753,2.0619214810086177,0.24768592403447176
2010,12.762708257707569,4.487476373468187,2.3820551014532665,24.828199126287725,7.271338982838689,0.8336566986694038,11.24435153775864,21.556159170849554,9.335452940955577,1.7949905493872749,0.8949918011240596,2.2869231058093105,0.3216963536907459
2011,10.059413375739906,3.3295785846806254,2.0916158671260714,21.561091969255234,7.615513737962718,0.49805636540330417,13.846187825779662,19.468371764290133,15.353608976057956,3.1230674087816945,0.7288629737609329,2.0595900697941514,0.26504108136761195
2012,13.137462380958924,4.7698882766013,2.911954266239745,22.829776415781446,7.73406258159381,1.2505325069741235,15.29497450837582,22.293833912792536,5.132680124778409,1.0622655251549424,0.8533853701438799,2.238590608638294,0.4905935219667716
2013,10.172892868169187,4.316146958937944,2.1611608521148504,25.784192652053104,6.6903365236184005,1.0944736029638777,15.674590923124422,23.40382834208089,6.546773695585057,1.028095091077493,0.6529793146032726,2.1086755171349183,0.36585365853658536
2014,10.102873673490473,5.610083686331232,2.0958481543252696,29.312355172464688,6.669815358729503,0.8442430593479255,12.601656015231798,22.09939043289596,5.462488745885791,2.115035496583177,0.7807772349563857,1.8862633388927428,0.41916963086505393
2015,8.895034299445571,5.008658764146004,1.812299472419487,24.619081499778495,7.361963190184049,0.7853297713817776,13.17206105435556,24.323743807976804,8.425178880670147,2.121061604757622,0.49670429984830383,2.5291645970654173,0.44971875797076155
